,lat_lowercolorado,lon_lowercolorado
1035,32.34375,-111.71875
1036,32.34375,-111.65625
1037,32.34375,-111.59375
1038,32.34375,-111.53125
1039,32.34375,-111.46875
1040,32.34375,-111.40625
1041,32.34375,-111.34375
1042,32.34375,-111.28125
1043,32.34375,-111.21875
1044,32.34375,-111.15625
1045,32.34375,-111.09375
1046,32.34375,-111.03125
1047,32.34375,-110.96875
1048,32.34375,-110.90625
1049,32.34375,-110.84375
1050,32.34375,-110.78125
1051,32.34375,-110.71875
1052,32.34375,-110.65625
1053,32.34375,-110.59375
1054,32.34375,-110.53125
1055,32.34375,-110.46875
1056,32.34375,-110.40625
1057,32.34375,-110.34375
1058,32.34375,-110.28125
1059,32.34375,-110.21875
1060,32.34375,-110.15625
1061,32.34375,-110.09375
1062,32.34375,-110.03125
