,lat_southernrockies,lon_southernrockies
2466,39.65625,-112.21875
2467,39.65625,-111.78125
2468,39.65625,-111.71875
2469,39.65625,-111.65625
2470,39.65625,-111.59375
2471,39.65625,-111.53125
2472,39.65625,-111.40625
2473,39.65625,-111.34375
2474,39.65625,-111.28125
2475,39.65625,-111.21875
2476,39.65625,-111.15625
2477,39.65625,-111.09375
2478,39.65625,-111.03125
2479,39.65625,-110.96875
2480,39.65625,-110.90625
2481,39.65625,-110.78125
2482,39.65625,-110.59375
2483,39.65625,-110.53125
2484,39.65625,-110.46875
2485,39.65625,-110.40625
2486,39.65625,-110.34375
2487,39.65625,-110.28125
2488,39.65625,-110.21875
2489,39.65625,-110.15625
2490,39.65625,-110.09375
2491,39.65625,-109.90625
2492,39.65625,-109.84375
2493,39.65625,-109.78125
2494,39.65625,-109.71875
2495,39.65625,-109.65625
2496,39.65625,-109.15625
2497,39.65625,-109.09375
2498,39.65625,-109.03125
2499,39.65625,-108.90625
2500,39.65625,-108.84375
2501,39.65625,-108.78125
2502,39.65625,-108.71875
2503,39.65625,-108.65625
2504,39.65625,-108.59375
2505,39.65625,-108.53125
2506,39.65625,-108.46875
2507,39.65625,-108.40625
2508,39.65625,-108.34375
2509,39.65625,-108.28125
2510,39.65625,-108.21875
2511,39.65625,-108.15625
2512,39.65625,-108.09375
2513,39.65625,-108.03125
2514,39.65625,-107.96875
2515,39.65625,-107.90625
2516,39.65625,-107.84375
2517,39.65625,-107.78125
2518,39.65625,-107.71875
2519,39.65625,-107.65625
2520,39.65625,-107.59375
2521,39.65625,-107.53125
2522,39.65625,-107.46875
2523,39.65625,-107.40625
2524,39.65625,-107.34375
2525,39.65625,-107.28125
2526,39.65625,-107.21875
2527,39.65625,-107.15625
2528,39.65625,-107.09375
2529,39.65625,-107.03125
2530,39.65625,-106.96875
2531,39.65625,-106.90625
2532,39.65625,-106.84375
2533,39.65625,-106.78125
2534,39.65625,-106.71875
2535,39.65625,-106.65625
2536,39.65625,-106.59375
2537,39.65625,-106.53125
2538,39.65625,-106.46875
2539,39.65625,-106.40625
2540,39.65625,-106.34375
2541,39.65625,-106.28125
2542,39.65625,-106.21875
2543,39.65625,-106.15625
2544,39.65625,-106.09375
2545,39.65625,-106.03125
2546,39.65625,-105.96875
2547,39.65625,-105.90625
2548,39.65625,-105.84375
2549,39.65625,-105.78125
2550,39.65625,-105.71875
2551,39.65625,-105.65625
2552,39.65625,-105.59375
2553,39.65625,-105.53125
2554,39.65625,-105.46875
2555,39.71875,-111.71875
2556,39.71875,-111.65625
2557,39.71875,-111.59375
2558,39.71875,-111.53125
2559,39.71875,-111.46875
2560,39.71875,-111.40625
2561,39.71875,-111.34375
2562,39.71875,-111.28125
2563,39.71875,-111.21875
2564,39.71875,-111.15625
2565,39.71875,-111.09375
2566,39.71875,-111.03125
2567,39.71875,-110.96875
2568,39.71875,-110.90625
2569,39.71875,-110.84375
2570,39.71875,-110.78125
2571,39.71875,-110.71875
2572,39.71875,-110.65625
