,lat_coastalsouth,lon_coastalsouth
2255,37.71875,-121.78125
2256,37.71875,-121.71875
2257,37.71875,-121.65625
2258,37.71875,-121.59375
2259,37.71875,-121.53125
2260,37.71875,-121.46875
2261,37.71875,-121.40625
2262,37.71875,-121.34375
2263,37.71875,-121.28125
2264,37.71875,-121.21875
2265,37.71875,-121.15625
2266,37.71875,-121.09375
2267,37.71875,-121.03125
2268,37.71875,-120.96875
2269,37.71875,-120.90625
2270,37.71875,-120.84375
2271,37.71875,-120.78125
2272,37.71875,-120.71875
2273,37.71875,-120.65625
2274,37.71875,-120.59375
2275,37.71875,-120.53125
2276,37.71875,-120.46875
2277,37.71875,-120.40625
2278,37.71875,-120.34375
2279,37.71875,-120.28125
2280,37.71875,-120.21875
2281,37.71875,-120.15625
2282,37.71875,-120.09375
2283,37.71875,-120.03125
2284,37.71875,-119.96875
2285,37.71875,-119.90625
2286,37.78125,-122.21875
2287,37.78125,-122.15625
2288,37.78125,-122.09375
2289,37.78125,-122.03125
2290,37.78125,-121.96875
2291,37.78125,-121.90625
2292,37.78125,-121.84375
2293,37.78125,-121.78125
2294,37.78125,-121.71875
2295,37.78125,-121.65625
2296,37.78125,-121.59375
2297,37.78125,-121.53125
2298,37.78125,-121.46875
2299,37.78125,-121.40625
2300,37.78125,-121.34375
2301,37.78125,-121.28125
2302,37.78125,-121.21875
2303,37.78125,-121.15625
2304,37.78125,-121.09375
2305,37.78125,-121.03125
2306,37.78125,-120.96875
2307,37.78125,-120.90625
2308,37.78125,-120.84375
2309,37.78125,-120.78125
2310,37.78125,-120.71875
2311,37.78125,-120.65625
2312,37.78125,-120.59375
2313,37.78125,-120.53125
2314,37.78125,-120.46875
2315,37.78125,-120.40625
2316,37.78125,-120.34375
2317,37.78125,-120.28125
2318,37.78125,-120.21875
2319,37.78125,-120.15625
2320,37.78125,-120.09375
2321,37.78125,-120.03125
2322,37.78125,-119.96875
2323,37.84375,-122.21875
2324,37.84375,-122.15625
2325,37.84375,-122.09375
2326,37.84375,-122.03125
2327,37.84375,-121.96875
2328,37.84375,-121.90625
2329,37.84375,-121.84375
2330,37.84375,-121.78125
2331,37.84375,-121.71875
2332,37.84375,-121.65625
2333,37.84375,-121.59375
2334,37.84375,-121.53125
2335,37.84375,-121.46875
2336,37.84375,-121.34375
2337,37.84375,-121.28125
2338,37.84375,-121.21875
2339,37.84375,-121.15625
2340,37.84375,-121.09375
2341,37.84375,-121.03125
2342,37.84375,-120.96875
2343,37.84375,-120.90625
2344,37.84375,-120.84375
2345,37.84375,-120.78125
2346,37.84375,-120.71875
2347,37.84375,-120.65625
2348,37.84375,-120.59375
2349,37.84375,-120.53125
2350,37.84375,-120.46875
2351,37.84375,-120.40625
2352,37.84375,-120.34375
2353,37.84375,-120.28125
2354,37.84375,-120.21875
2355,37.84375,-120.15625
2356,37.84375,-120.09375
2357,37.84375,-120.03125
2358,37.84375,-119.96875
2359,37.84375,-119.90625
2360,37.84375,-119.84375
2361,37.90625,-122.71875
2362,37.90625,-122.65625
2363,37.90625,-122.59375
2364,37.90625,-122.53125
2365,37.90625,-122.34375
2366,37.90625,-122.28125
2367,37.90625,-122.21875
2368,37.90625,-122.15625
2369,37.90625,-122.09375
2370,37.90625,-122.03125
2371,37.90625,-121.96875
2372,37.90625,-121.90625
2373,37.90625,-121.84375
2374,37.90625,-121.78125
2375,37.90625,-121.71875
2376,37.90625,-121.65625
2377,37.90625,-121.53125
2378,37.90625,-121.46875
2379,37.90625,-121.40625
2380,37.90625,-121.28125
2381,37.90625,-121.21875
2382,37.90625,-121.15625
2383,37.90625,-121.09375
2384,37.90625,-121.03125
2385,37.90625,-120.96875
2386,37.90625,-120.90625
2387,37.90625,-120.84375
2388,37.90625,-120.78125
2389,37.90625,-120.71875
2390,37.90625,-120.65625
2391,37.90625,-120.59375
2392,37.90625,-120.53125
2393,37.90625,-120.46875
2394,37.90625,-120.40625
2395,37.90625,-120.34375
2396,37.90625,-120.28125
2397,37.90625,-120.21875
2398,37.90625,-120.15625
2399,37.90625,-120.09375
2400,37.90625,-120.03125
2401,37.90625,-119.96875
2402,37.90625,-119.90625
2403,37.90625,-119.84375
2404,37.96875,-122.71875
2405,37.96875,-122.65625
2406,37.96875,-122.59375
2407,37.96875,-122.53125
2408,37.96875,-122.34375
2409,37.96875,-122.28125
2410,37.96875,-122.21875
2411,37.96875,-122.15625
2412,37.96875,-122.09375
2413,37.96875,-122.03125
2414,37.96875,-121.96875
2415,37.96875,-121.90625
2416,37.96875,-121.84375
2417,37.96875,-121.78125
2418,37.96875,-121.71875
2419,37.96875,-121.65625
2420,37.96875,-121.59375
2421,37.96875,-121.53125
2422,37.96875,-121.46875
2423,37.96875,-121.40625
2424,37.96875,-121.34375
2425,37.96875,-121.28125
2426,37.96875,-121.21875
2427,37.96875,-121.15625
2428,37.96875,-121.09375
2429,37.96875,-121.03125
2430,37.96875,-120.96875
2431,37.96875,-120.90625
2432,37.96875,-120.84375
2433,37.96875,-120.78125
2434,37.96875,-120.71875
2435,37.96875,-120.65625
2436,37.96875,-120.59375
2437,37.96875,-120.53125
2438,37.96875,-120.46875
2439,37.96875,-120.40625
2440,37.96875,-120.34375
2441,37.96875,-120.28125
2442,37.96875,-120.21875
2443,37.96875,-120.15625
2444,37.96875,-120.09375
2445,37.96875,-120.03125
2446,37.96875,-119.90625
2447,38.03125,-122.96875
2448,38.03125,-122.90625
2449,38.03125,-122.71875
2450,38.03125,-122.65625
2451,38.03125,-122.59375
2452,38.03125,-122.53125
2453,38.03125,-122.21875
2454,38.03125,-122.15625
2455,38.03125,-121.71875
2456,38.03125,-121.65625
2457,38.03125,-121.59375
2458,38.03125,-121.53125
2459,38.03125,-121.46875
2460,38.03125,-121.40625
2461,38.03125,-121.34375
2462,38.03125,-121.28125
2463,38.03125,-121.21875
2464,38.03125,-121.15625
2465,38.03125,-121.09375
2466,38.03125,-121.03125
2467,38.03125,-120.96875
2468,38.03125,-120.90625
2469,38.03125,-120.84375
2470,38.03125,-120.78125
2471,38.03125,-120.71875
2472,38.03125,-120.65625
2473,38.03125,-120.59375
2474,38.03125,-120.53125
2475,38.03125,-120.46875
2476,38.03125,-120.40625
2477,38.03125,-120.34375
2478,38.03125,-120.28125
2479,38.03125,-120.21875
2480,38.03125,-120.15625
2481,38.09375,-122.96875
2482,38.09375,-122.90625
2483,38.09375,-122.71875
2484,38.09375,-122.65625
2485,38.09375,-122.59375
2486,38.09375,-122.53125
2487,38.09375,-122.21875
2488,38.09375,-122.15625
2489,38.09375,-121.71875
2490,38.09375,-121.65625
2491,38.09375,-121.59375
2492,38.09375,-121.53125
2493,38.09375,-121.46875
2494,38.09375,-121.34375
2495,38.09375,-121.28125
2496,38.09375,-121.21875
2497,38.09375,-121.15625
2498,38.09375,-121.09375
2499,38.09375,-121.03125
2500,38.09375,-120.96875
2501,38.09375,-120.90625
2502,38.09375,-120.84375
2503,38.09375,-120.78125
2504,38.09375,-120.71875
2505,38.09375,-120.65625
2506,38.09375,-120.59375
2507,38.09375,-120.53125
2508,38.09375,-120.46875
2509,38.09375,-120.40625
2510,38.09375,-120.34375
2511,38.09375,-120.28125
2512,38.09375,-120.21875
2513,38.15625,-122.96875
2514,38.15625,-122.90625
2515,38.15625,-122.84375
2516,38.15625,-122.78125
2517,38.15625,-122.71875
2518,38.15625,-122.65625
2519,38.15625,-122.59375
2520,38.15625,-122.53125
2521,38.15625,-122.46875
2522,38.15625,-122.21875
2523,38.15625,-122.15625
2524,38.15625,-122.09375
2525,38.15625,-121.90625
2526,38.15625,-121.84375
2527,38.15625,-121.78125
